Beijing,2022,Winter,Alpine Skiing,Men's Giant Slalom,22,ISR,2:17.93,
Beijing,2022,Winter,Alpine Skiing,Men's Giant Slalom,21,CRO,2:17.28,
Beijing,2022,Winter,Alpine Skiing,Men's Giant Slalom,25,IRL,2:20.56,
Beijing,2022,Winter,Alpine Skiing,Men's Giant Slalom,26,LAT,2:22.63,
Beijing,2022,Winter,Alpine Skiing,Men's Giant Slalom,29,UZB,2:27.49,
Beijing,2022,Winter,Alpine Skiing,Men's Giant Slalom,27,AUT,2:24.98,
Beijing,2022,Winter,Alpine Skiing,Men's Giant Slalom,32,ROU,2:33.21,
Beijing,2022,Winter,Alpine Skiing,Men's Giant Slalom,30,KOS,2:29.85,
Beijing,2022,Winter,Alpine Skiing,Men's Giant Slalom,31,COL,2:30.02,
Beijing,2022,Winter,Alpine Skiing,Men's Giant Slalom,28,LUX,2:26.54,
Beijing,2022,Winter,Alpine Skiing,Men's Giant Slalom,33,CHN,2:33.22,
Beijing,2022,Winter,Alpine Skiing,Men's Giant Slalom,35,MEX,2:34.59,
Beijing,2022,Winter,Alpine Skiing,Men's Giant Slalom,37,POR,2:37.40,
Beijing,2022,Winter,Alpine Skiing,Men's Giant Slalom,34,HUN,2:33.54,
Beijing,2022,Winter,Alpine Skiing,Men's Giant Slalom,36,CHN,2:35.17,
Beijing,2022,Winter,Alpine Skiing,Men's Giant Slalom,41,MNE,2:41.54,
Beijing,2022,Winter,Alpine Skiing,Men's Giant Slalom,38,THA,2:38.36,
Beijing,2022,Winter,Alpine Skiing,Men's Giant Slalom,42,CYP,2:42.51,
Beijing,2022,Winter,Alpine Skiing,Men's Giant Slalom,39,ERI,2:40.45,
Beijing,2022,Winter,Alpine Skiing,Men's Giant Slalom,40,PUR,2:41.42,
Beijing,2022,Winter,Alpine Skiing,Men's Giant Slalom,44,KSA,2:46.85,
Beijing,2022,Winter,Alpine Skiing,Men's Giant Slalom,43,TUR,2:42.72,
Beijing,2022,Winter,Alpine Skiing,Men's Giant Slalom,,ITA,,Did not finish
Beijing,2022,Winter,Alpine Skiing,Men's Giant Slalom,46,JAM,3:18.52,
Beijing,2022,Winter,Alpine Skiing,Men's Giant Slalom,,AUT,,Did not finish
Beijing,2022,Winter,Alpine Skiing,Men's Giant Slalom,45,IND,2:47.24,
Beijing,2022,Winter,Alpine Skiing,Men's Giant Slalom,,SWE,,Did not finish
Beijing,2022,Winter,Alpine Skiing,Men's Giant Slalom,,LTU,,Did not finish
Beijing,2022,Winter,Alpine Skiing,Men's Giant Slalom,,NOR,,Did not finish
Beijing,2022,Winter,Alpine Skiing,Men's Giant Slalom,,TLS,,Did not finish
Beijing,2022,Winter,Alpine Skiing,Men's Giant Slalom,,BIH,,Did not finish
Beijing,2022,Winter,Alpine Skiing,Men's Giant Slalom,,SUI,,Did not finish
Beijing,2022,Winter,Alpine Skiing,Men's Giant Slalom,,SMR,,Disqualified
Beijing,2022,Winter,Alpine Skiing,Men's Giant Slalom,,GER,,Did not finish
Beijing,2022,Winter,Alpine Skiing,Men's Giant Slalom,,NOR,,Did not finish
Beijing,2022,Winter,Alpine Skiing,Men's Giant Slalom,,NOR,,Did not finish
Beijing,2022,Winter,Alpine Skiing,Men's Giant Slalom,,SUI,,Did not finish
Beijing,2022,Winter,Alpine Skiing,Men's Giant Slalom,,FRA,,Did not finish
Beijing,2022,Winter,Alpine Skiing,Men's Giant Slalom,,ROC,,Did not finish
Beijing,2022,Winter,Alpine Skiing,Men's Giant Slalom,,USA,,Did not finish
Beijing,2022,Winter,Alpine Skiing,Men's Giant Slalom,,BEL,,Did not finish
Beijing,2022,Winter,Alpine Skiing,Men's Giant Slalom,,ROC,,Did not finish
Beijing,2022,Winter,Alpine Skiing,Men's Giant Slalom,,KOR,,Did not finish
Beijing,2022,Winter,Alpine Skiing,Men's Giant Slalom,,ITA,,Did not finish
Beijing,2022,Winter,Alpine Skiing,Men's Giant Slalom,,FIN,,Did not finish
Beijing,2022,Winter,Alpine Skiing,Men's Giant Slalom,,CZE,,Did not finish
Beijing,2022,Winter,Alpine Skiing,Men's Giant Slalom,,BEL,,Did not finish
Beijing,2022,Winter,Alpine Skiing,Men's Giant Slalom,,ITA,,Did not finish
