Country;Athlete;Sport;Games;Gold;Silver;Bronze;YearOfBirth
United States of America; Kaillie Humphries; Bobsleigh; 1; 0; 0; 4; 1985
Finland; Harri Pesonen; Ice Hockey; 1; 0; 0; 1; 1988
Italy; Stefania Constantini; Curling; 1; 0; 0; 1; 1999
Norway; Marius Lindvik; Ski Jumping; 1; 0; 0; 1; 1998
Great Britain; Mili Smith; Curling; 1; 0; 0; 1; 1998
United States of America; Christopher Lillis; Freestyle Skiing; 1; 0; 0; 1; 1998
Finland; Joonas Nattinen; Ice Hockey; 1; 0; 0; 1; 1991
Canada; Sarah Nurse; Ice Hockey; 1; 0; 0; 2; 1995
Sweden; Daniel Magnusson; Curling; 1; 0; 0; 1; 2000
Canada; Charles Hamelin; Short Track Speed Skating; 1; 0; 0; 5; 1984
Czech Republic; Ester Ledecka; Snowboard; 1; 0; 0; 3; 1995
France; Clement Noel; Alpine Skiing; 1; 0; 0; 2; 1997
Finland; Niklas Friman; Ice Hockey; 1; 0; 0; 1; 1993
Australia; Jakara Anthony; Freestyle Skiing; 1; 0; 0; 2; 1998
Netherlands; Xandra Velzeboer; Short Track Speed Skating; 1; 0; 0; 1; 2001
Germany; Tobias Wendl; Luge; 1; 0; 0; 3; 1987
Japan; Ayumu Hirano; Snowboard; 1; 0; 0; 3; 1998
Russian Olympic Committee; Alexey Chervotkin; Cross Country Skiing; 1; 0; 0; 2; 1995
Finland; Saku Maenalanen; Ice Hockey; 1; 0; 0; 1; 1994
Austria; Katharina Truppe; Alpine Skiing; 1; 0; 0; 1; 1996
Canada; Natalie Spooner; Ice Hockey; 1; 0; 0; 3; 1990
People's Republic of China; Dajing Wu; Short Track Speed Skating; 1; 0; 0; 3; 1994
Italy; Amos Mosaner; Curling; 1; 0; 0; 2; 1995
Canada; Jillian Saulnier; Ice Hockey; 1; 0; 0; 2; 1992
Finland; Sakari Manninen; Ice Hockey; 1; 0; 0; 2; 1992
Finland; Toni Rajala; Ice Hockey; 1; 0; 0; 1; 1991
Finland; Jussi Olkinuora; Ice Hockey; 1; 0; 0; 1; 1990
United States of America; Justin Schoenefeld; Freestyle Skiing; 1; 0; 0; 1; 1998
Canada; Maxime Laoun; Short Track Speed Skating; 1; 0; 0; 1; 1996
United States of America; Chloe Kim; Snowboard; 1; 0; 0; 2; 2000
Russian Olympic Committee; Veronika Stepanova; Cross Country Skiing; 1; 0; 0; 1; 2001
Sweden; Christoffer Sundgren; Curling; 1; 0; 0; 2; 1989
People's Republic of China; Cong Han; Figure skating; 1; 0; 0; 2; 1992
Canada; Emerance Maschmeyer; Ice Hockey; 1; 0; 0; 1; 1994
Russian Olympic Committee; Kamila Valieva; Figure skating; 1; 0; 0; 1; 2006
Great Britain; Vicky Wright; Curling; 1; 0; 0; 1; 1993
Sweden; Hanna Oeberg; Biathlon; 1; 0; 0; 2; 1995
United States of America; Ashley Caldwell; Freestyle Skiing; 1; 0; 0; 4; 1993
Canada; Blayre Turnbull; Ice Hockey; 1; 0; 0; 2; 1993
Switzerland; Corinne Suter; Alpine Skiing; 1; 0; 0; 2; 1994
New Zealand; Nico Porteous; Freestyle Skiing; 1; 0; 0; 2; 2001
Belgium; Bart Swings; Speed skating; 1; 0; 0; 3; 1991
Canada; Brianne Jenner; Ice Hockey; 1; 0; 0; 3; 1991
Austria; Benjamin Karl; Snowboard; 1; 0; 0; 4; 1985
Canada; Jocelyne Larocque; Ice Hockey; 1; 0; 0; 3; 1988
Sweden; Linn Persson; Biathlon; 1; 0; 0; 2; 1994
Germany; Tobias Arlt; Luge; 1; 0; 0; 3; 1987
Russian Olympic Committee; Anna Shcherbakova; Figure skating; 1; 0; 0; 1; 2004
United States of America; Erin Jackson; Speed skating; 1; 0; 0; 2; 1992
Finland; Atte Ohtamaa; Ice Hockey; 1; 0; 0; 2; 1987
Canada; Valerie Maltais; Speed skating; 1; 0; 0; 4; 1990
Canada; Jordan Pierre-gilles; Short Track Speed Skating; 1; 0; 0; 1; 1998
Austria; Stefan Kraft; Ski Jumping; 1; 0; 0; 2; 1993
Austria; Katharina Huber; Alpine Skiing; 1; 0; 0; 1; 1995
France; Gabriella Papadakis; Figure skating; 1; 0; 0; 2; 1995
Canada; Marie-philip Poulin; Ice Hockey; 1; 0; 0; 4; 1991
Canada; Erin Ambrose; Ice Hockey; 1; 0; 0; 1; 1994
Austria; Michael Matt; Alpine Skiing; 1; 0; 0; 2; 1993
Canada; Jamie Lee Rattray; Ice Hockey; 1; 0; 0; 1; 1992
Canada; Sarah Fillier; Ice Hockey; 1; 0; 0; 1; 2000
Germany; Alexander Schueller; Bobsleigh; 1; 0; 0; 1; 1997
Finland; Valtteri Kemilainen; Ice Hockey; 1; 0; 0; 1; 1991
Russian Olympic Committee; Sergey Ustiugov; Cross Country Skiing; 1; 0; 0; 2; 1992
Canada; Claire Thompson; Ice Hockey; 1; 0; 0; 1; 1998
Finland; Marko Anttila; Ice Hockey; 1; 0; 0; 2; 1985
France; Justine Braisaz; Biathlon; 1; 0; 0; 2; 1996
United States of America; Nick Baumgartner; Snowboard; 1; 0; 0; 4; 1981
Canada; Rebecca Johnston; Ice Hockey; 1; 0; 0; 4; 1989
Finland; Miro Aaltonen; Ice Hockey; 1; 0; 0; 1; 1993
Austria; Stefan Brennsteiner; Alpine Skiing; 1; 0; 0; 2; 1991
Sweden; Mona Brorsson; Biathlon; 1; 0; 0; 2; 1990
Germany; Candy Bauer; Bobsleigh; 1; 0; 0; 2; 1986
Norway; Erik Valnes; Cross Country Skiing; 1; 0; 0; 1; 1996
Norway; Sverre Lunde Pedersen; Speed skating; 1; 0; 0; 3; 1992
Finland; Ville Pokka; Ice Hockey; 1; 0; 0; 1; 1994
Switzerland; Marco Odermatt; Alpine Skiing; 1; 0; 0; 1; 1997
Sweden; Sara Hector; Alpine Skiing; 1; 0; 0; 3; 1992
Finland; Mikko Lehtonen; Ice Hockey; 1; 0; 0; 2; 1994
Great Britain; Jennifer Dodds; Curling; 1; 0; 0; 1; 1991
